,https://vocab.egm.io/flow__value
0,261
1,368
2,601
3,632
4,588
5,677
6,802
7,594
8,398
9,261
10,165
11,112
12,112
13,11
14,13
15,22
16,60
17,104
18,244
19,235
20,308
21,718
22,567
23,505
24,546
25,648
26,710
27,649
28,528
29,352
30,251
31,183
32,130
33,88
34,16
35,22
36,18
37,47
38,97
39,169
40,229
41,316
42,561
43,605
44,599
45,632
46,763
47,673
48,641
49,547
50,446
51,251
52,202
53,169
54,158
55,40
56,30
57,19
58,31
59,32
60,142
61,251
62,516
63,612
64,754
65,1035
66,1620
67,2729
68,1963
69,945
70,597
71,478
72,252
73,192
74,192
75,58
76,40
77,19
78,12
79,20
80,62
81,89
82,239
83,439
84,521
85,643
86,766
87,736
88,742
89,638
90,420
91,238
92,163
93,84
94,26
95,47
96,3
97,2
98,21
99,58
100,102
101,200
102,260
103,291
104,335
105,645
106,568
107,564
108,719
109,625
110,490
111,407
112,162
113,97
114,62
115,29
116,2
117,5
118,24
119,58
120,121
121,254
122,211
123,400
124,516
125,623
126,560
127,590
128,773
129,740
130,817
131,647
132,451
133,272
134,134
135,74
136,74
137,3
138,6
139,23
140,58
141,123
142,331
143,284
144,459
145,562
146,635
147,618
148,698
149,700
150,931
151,860
152,623
153,494
154,232
155,150
156,107
157,56
158,4
159,6
160,15
161,59
162,115
163,265
164,290
165,447
166,551
167,631
168,639
169,639
170,710
171,744
172,814
173,669
174,438
175,235
176,188
177,106
178,95
179,10
180,13
181,32
182,59
183,85
184,219
185,464
186,432
187,600
188,674
189,737
190,805
191,846
192,902
193,1072
194,825
195,543
196,387
197,434
198,254
199,211
200,39
201,42
202,27
203,12
204,16
205,40
206,152
207,357
208,661
209,982
210,964
211,1265
212,1122
213,1047
214,853
215,652
216,495
217,320
218,157
219,178
220,189
221,38
222,26
223,8
224,12
225,17
226,23
227,89
228,141
229,363
230,522
231,899
232,1068
233,857
234,720
235,588
236,389
237,188
238,103
239,48
240,25
241,24
242,0
243,3
244,27
245,50
246,89
247,218
248,215
249,374
250,436
251,580
252,631
253,505
254,582
255,783
256,693
257,454
258,311
259,214
260,112
261,68
262,32
263,4
264,9
265,17
266,55
267,93
268,261
269,287
270,423
271,621
272,529
273,526
274,556
275,782
276,857
277,723
278,603
279,378
280,223
281,162
282,59
283,52
284,0
285,2
286,23
287,47
288,127
289,219
290,315
291,400
292,660
293,622
294,648
295,596
296,665
297,827
298,836
299,565
300,389
301,281
302,194
303,109
304,67
305,3
306,18
307,20
308,61
309,103
310,234
311,269
312,370
313,669
314,734
315,757
316,856
317,1181
318,1076
319,959
320,760
321,300
322,236
323,196
324,88
325,16
326,8
327,31
328,46
329,89
330,247
331,484
332,680
333,832
334,855
335,929
336,984
337,1160
338,1137
339,1044
340,823
341,468
342,255
343,194
344,191
345,63
346,41
347,20
348,18
349,29
350,36
351,169
352,382
353,1036
354,1423
355,1645
356,1939
357,2176
358,2119
359,2060
360,1616
361,1048
362,572
363,284
364,213
365,237
366,37
367,49
368,10
369,16
370,14
371,46
372,89
373,231
374,680
375,1206
376,1411
377,1542
378,1582
379,1592
380,1275
381,838
382,434
383,191
384,112
385,90
386,42
387,2
388,30
389,22
390,100
391,61
392,153
393,272
394,478
395,845
396,1034
397,1043
398,1051
399,1135
400,1220
401,1281
402,1029
403,672
404,296
405,203
406,147
407,162
408,63
409,49
410,36
411,22
412,36
413,27
414,128
415,575
416,930
417,1071
418,1241
419,1140
420,1430
421,1057
422,1254
423,517
424,275
425,132
426,76
427,62
428,6
429,7
430,23
431,42
432,89
433,190
434,261
435,451
436,706
437,669
438,624
439,740
440,795
441,980
442,1208
443,948
444,661
445,289
446,194
447,229
448,70
449,13
450,7
451,25
452,69
453,127
454,253
455,331
456,444
457,790
458,815
459,786
460,800
461,966
462,1169
463,1283
464,1003
465,709
466,338
467,258
468,165
469,107
470,66
471,19
472,46
473,61
474,107
475,303
476,348
477,522
478,580
479,886
480,962
481,1149
482,1249
483,1280
484,1398
485,1252
486,1131
487,620
488,276
489,241
490,248
491,47
492,40
493,27
494,13
495,21
496,51
497,120
498,341
499,860
500,1317
501,1614
502,1839
503,1975
504,1984
505,1599
506,1156
507,903
508,506
509,360
510,386
511,249
512,72
513,49
514,18
515,16
516,23
517,48
518,89
519,260
520,714
521,1079
522,1349
523,1419
524,1426
525,1453
526,1301
527,810
528,422
529,159
530,90
531,32
532,77
533,8
534,3
535,21
536,56
537,124
538,246
539,388
540,471
541,593
542,707
543,699
544,601
545,779
546,822
547,678
548,517
549,311
550,238
551,139
552,86
553,35
554,9
555,30
556,22
557,56
558,130
559,239
560,286
561,390
562,616
563,580
564,636
565,613
566,883
567,864
568,1469
569,736
570,339
571,308
572,194
573,95
574,25
575,8
576,9
577,49
578,108
579,187
580,247
581,548
582,803
583,882
584,816
585,961
586,1048
587,1272
588,1226
589,969
590,611
591,351
592,230
593,108
594,92
595,5
596,6
597,22
598,64
599,133
600,250
601,331
602,605
603,812
604,1002
605,981
606,967
607,1171
608,1421
609,1440
610,1159
611,759
612,351
613,215
614,173
615,118
616,16
617,15
618,15
619,69
620,106
621,167
622,186
623,427
624,772
625,1051
626,941
627,1169
628,1249
629,1347
630,1451
631,1295
632,898
633,621
634,270
635,223
636,145
637,116
638,84
639,26
640,34
641,47
642,53
643,162
644,390
645,943
646,1502
647,1768
648,1944
649,2143
650,1731
651,1686
652,1215
653,906
654,540
655,234
656,200
657,145
658,99
659,54
660,10
661,11
662,20
663,21
664,52
665,230
666,697
667,1067
668,1368
669,1711
670,1585
671,1097
672,762
