<CdSiteHydro>;<CdStationHydro>;<TypDeGrdSerieObsElaborHydro>;<PDTSerieObsElaborHydro>;<DtObsElaborHydro>;<StObsElaborHydro>;<ResObsElaborHydro>;<QualifObsElaborHydro>;<MethObsElaborHydro>;<ContObsElaborHydro>;<FLG>
"Code du site hydrométrique";"Code de la station hydrométrique";"Type de grandeur de la série d'observations élaborées hydrométriques";"Pas de temps de la série d'observations élaborées hydrométriques";"Date d'observation élaborée hydrométrique";"Statut de l'observation élaborée hydrométrique";"Résultat de l'observation élaborée hydrométrique";"Qualification de l'observation élaborée hydrométrique";"Méthode d'obtention du résultat de l'observation élaborée hydrométrique";"Continuité de la donnée de l'observation élaborée hydrométrique";<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-01 00:00:00";16;30100;20;10;1;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-02 00:00:00";16;29400;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-03 00:00:00";16;29400;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-04 00:00:00";16;27800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-05 00:00:00";16;27800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-06 00:00:00";16;27000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-07 00:00:00";16;26600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-08 00:00:00";16;27000;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-09 00:00:00";16;25800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-10 00:00:00";16;25400;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-11 00:00:00";16;25800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-12 00:00:00";16;23800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-13 00:00:00";16;23800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-14 00:00:00";16;24200;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-15 00:00:00";16;24600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-16 00:00:00";16;24600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-17 00:00:00";16;24200;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-18 00:00:00";16;24200;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-19 00:00:00";16;24200;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-20 00:00:00";16;25400;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-21 00:00:00";16;24600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-22 00:00:00";16;24600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-23 00:00:00";16;24600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-24 00:00:00";16;24600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-25 00:00:00";16;28600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-26 00:00:00";16;27800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-27 00:00:00";16;28600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-28 00:00:00";16;34600;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-29 00:00:00";16;32800;20;10;0;<FLG>
X0310010;X031001001;QmnJ;1;"1960-01-30 00:00:00";16;29400;20;10;0;<FLG>
