observedAt,atmosphericPressure # urn:ngsi-ld:Dataset:Open-Meteo:Mean_sea_level,atmosphericPressure # urn:ngsi-ld:Dataset:Open-Meteo:Surface,convectiveAvailablePotentialEnergy,dewPoint,diffuseIrradiation,directIrradiation # urn:ngsi-ld:Dataset:Open-Meteo,directIrradiation # urn:ngsi-ld:Dataset:Open-Meteo:Direct_normal_irradiance,feelLikesTemperature,freezingLevelHeight,gustSpeed,isDay,precipitation # urn:ngsi-ld:Dataset:Open-Meteo:Total,precipitation # urn:ngsi-ld:Dataset:Open-Meteo:Snowfall,precipitation # urn:ngsi-ld:Dataset:Open-Meteo:Rain,precipitation # urn:ngsi-ld:Dataset:Open-Meteo:Showers,precipitationProbability,relativeHumidity,snowHeight,solarRadiation,temperature,visibility,weatherCode,windDirection # urn:ngsi-ld:Dataset:Open-Meteo:10MTR,windDirection # urn:ngsi-ld:Dataset:Open-Meteo:80MTR,windDirection # urn:ngsi-ld:Dataset:Open-Meteo:120MTR,windDirection # urn:ngsi-ld:Dataset:Open-Meteo:180MTR,windSpeed # urn:ngsi-ld:Dataset:Open-Meteo:10MTR,windSpeed # urn:ngsi-ld:Dataset:Open-Meteo:80MTR,windSpeed # urn:ngsi-ld:Dataset:Open-Meteo:120MTR,windSpeed # urn:ngsi-ld:Dataset:Open-Meteo:180MTR,cloudCoverage # urn:ngsi-ld:Dataset:Open-Meteo:Total,cloudCoverage # urn:ngsi-ld:Dataset:Open-Meteo:Low,cloudCoverage # urn:ngsi-ld:Dataset:Open-Meteo:Mid,cloudCoverage # urn:ngsi-ld:Dataset:Open-Meteo:High,evapotranspiration # urn:ngsi-ld:Dataset:Open-Meteo,evapotranspiration # urn:ngsi-ld:Dataset:Open-Meteo:ET0_FAO,soilTemperature # urn:ngsi-ld:Dataset:Open-Meteo:1CMT,soilTemperature # urn:ngsi-ld:Dataset:Open-Meteo:6CMT,soilTemperature # urn:ngsi-ld:Dataset:Open-Meteo:18CMT,soilTemperature # urn:ngsi-ld:Dataset:Open-Meteo:54CMT,vapourPressureDeficit,volumetricMoisture # urn:ngsi-ld:Dataset:Open-Meteo:0_1CMT,volumetricMoisture # urn:ngsi-ld:Dataset:Open-Meteo:1_3CMT,volumetricMoisture # urn:ngsi-ld:Dataset:Open-Meteo:3_9CMT,volumetricMoisture # urn:ngsi-ld:Dataset:Open-Meteo:9_27CMT,volumetricMoisture # urn:ngsi-ld:Dataset:Open-Meteo:27_81CMT
2023-08-02T00:00:00Z,1013.9,740.6,0.0,2.2,0.0,0.0,0.0,3.6,4830.0,40.3,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,6.7,24140.0,0.0,328.0,324.0,323.0,322.0,9.4,12.9,14.4,15.9,0.0,0.0,0.0,0.0,0.01,0.01,5.8,7.6,9.7,9.7,0.27,0.136,0.183,0.22,0.252,0.273
2023-08-02T01:00:00Z,1012.9,740.2,0.0,2.4,0.0,0.0,0.0,3.9,4900.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,7.1,17800.0,0.0,320.0,320.0,320.0,320.0,10.7,14.1,15.1,16.4,2.0,2.0,0.0,0.0,0.01,0.01,5.9,7.4,9.5,9.7,0.28,0.14,0.183,0.22,0.252,0.273
2023-08-02T02:00:00Z,1012.1,739.4,0.0,2.5,0.0,0.0,0.0,4.5,4880.0,40.7,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,6.8,24140.0,0.0,294.0,311.0,313.0,314.0,4.3,7.7,9.4,10.9,2.0,2.0,0.0,0.0,0.01,0.0,5.2,7.2,9.2,9.7,0.26,0.143,0.183,0.22,0.252,0.273
2023-08-02T03:00:00Z,1011.9,739.7,0.0,3.1,0.0,0.0,0.0,4.4,4710.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,7.4,24140.0,0.0,315.0,316.0,316.0,316.0,9.7,13.5,14.5,16.0,12.0,12.0,0.0,0.0,-0.0,0.01,5.8,7.1,9.0,9.7,0.27,0.147,0.182,0.218,0.249,0.273
2023-08-02T04:00:00Z,1012.3,740.0,0.0,3.3,0.0,0.0,0.0,4.8,4810.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,7.5,24140.0,1.0,315.0,318.0,319.0,318.0,7.6,11.2,12.5,14.0,15.0,15.0,0.0,0.0,-0.0,0.0,5.6,7.0,8.9,9.7,0.26,0.15,0.182,0.217,0.249,0.273
2023-08-02T05:00:00Z,1012.2,740.0,0.0,3.8,9.0,6.0,71.0,5.5,4920.0,37.1,1.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,15.0,7.6,24140.0,1.0,275.0,297.0,303.0,305.0,4.3,7.2,8.6,10.1,14.0,14.0,0.0,0.0,-0.0,0.01,5.8,6.8,8.7,9.6,0.24,0.153,0.182,0.217,0.249,0.273
2023-08-02T06:00:00Z,1013.4,741.7,0.0,4.7,45.0,99.0,535.9,5.9,4670.0,34.9,1.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,144.0,8.6,24140.0,1.0,318.0,315.0,313.0,310.0,10.2,12.7,13.8,15.1,46.0,46.0,0.0,1.0,0.02,0.06,9.4,7.6,8.6,9.6,0.27,0.154,0.182,0.217,0.249,0.273
2023-08-02T07:00:00Z,1014.1,742.9,0.0,6.0,104.0,177.0,490.6,6.7,4620.0,43.2,1.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,281.0,9.4,24140.0,1.0,320.0,316.0,313.0,309.0,12.3,14.0,14.8,15.9,54.0,54.0,0.0,0.0,0.08,0.13,12.0,8.8,8.6,9.6,0.25,0.153,0.182,0.217,0.249,0.273
2023-08-02T08:00:00Z,1013.6,743.4,0.0,6.7,142.0,321.0,609.3,7.9,4740.0,43.9,1.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,463.0,10.6,24140.0,1.0,315.0,313.0,311.0,308.0,12.7,13.8,14.3,14.6,50.0,50.0,0.0,0.0,0.14,0.22,14.8,10.4,8.7,9.6,0.29,0.149,0.182,0.216,0.249,0.273
2023-08-02T09:00:00Z,1013.9,744.5,0.0,7.7,151.0,503.0,748.9,9.4,4710.0,46.1,1.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,654.0,11.6,24140.0,1.0,314.0,311.0,310.0,308.0,15.0,16.3,16.4,16.9,61.0,61.0,0.0,0.0,0.22,0.31,17.3,12.1,9.0,9.6,0.32,0.14,0.181,0.216,0.248,0.273
2023-08-02T10:00:00Z,1013.6,744.9,0.0,8.0,140.0,661.0,841.8,10.8,4770.0,49.3,1.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,801.0,12.5,24140.0,1.0,316.0,313.0,312.0,310.0,17.1,18.8,18.9,19.2,2.0,2.0,0.0,0.0,0.29,0.38,19.4,13.7,9.4,9.6,0.38,0.128,0.18,0.215,0.248,0.273
2023-08-02T11:00:00Z,1013.2,745.2,0.0,6.8,89.0,830.0,965.3,11.1,4790.0,49.7,1.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,919.0,13.2,24140.0,1.0,316.0,314.0,312.0,310.0,20.9,22.9,23.2,23.5,0.0,0.0,0.0,0.0,0.33,0.44,20.2,15.0,9.9,9.5,0.53,0.116,0.179,0.214,0.248,0.273
2023-08-02T12:00:00Z,1012.7,745.2,0.0,5.3,91.0,867.0,973.6,10.6,4590.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,958.0,13.6,24140.0,0.0,304.0,302.0,302.0,300.0,26.0,29.3,29.6,29.5,13.0,13.0,0.0,0.0,0.33,0.46,20.2,15.7,10.5,9.5,0.67,0.104,0.177,0.213,0.247,0.273
2023-08-02T13:00:00Z,1012.6,745.2,10.0,5.4,138.0,788.0,900.6,10.3,4610.0,49.3,1.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,926.0,13.8,24140.0,1.0,289.0,288.0,287.0,286.0,27.4,30.6,31.2,31.1,39.0,39.0,0.0,0.0,0.29,0.45,20.2,16.2,11.0,9.5,0.68,0.096,0.176,0.212,0.247,0.273
2023-08-02T14:00:00Z,1012.5,744.9,0.0,5.1,183.0,577.0,708.6,8.4,4420.0,57.2,1.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,760.0,13.4,24140.0,2.0,276.0,274.0,273.0,272.0,32.2,38.2,38.9,39.6,90.0,90.0,0.0,0.0,0.24,0.37,17.5,16.1,11.5,9.6,0.66,0.09,0.175,0.212,0.246,0.273
