observedAt;https://vocab.egm.io/temperature__value;https://vocab.egm.io/10MTR__value;https://vocab.egm.io/80MTR__value;https://vocab.egm.io/120MTR__value;https://vocab.egm.io/180MTR__value;https://vocab.egm.io/temperature__type;https://vocab.egm.io/10MTR__type;https://vocab.egm.io/80MTR__type;https://vocab.egm.io/120MTR__type;https://vocab.egm.io/180MTR__type
1713312000;-76;97;125;131;141;Property;Property;Property;Property;Property
1713315600;-77;8;102;107;121;Property;Property;Property;Property;Property
1713319200;-83;9;114;123;13;Property;Property;Property;Property;Property
1713322800;-82;114;143;153;166;Property;Property;Property;Property;Property
1713326400;-86;104;132;145;162;Property;Property;Property;Property;Property
1713330000;-91;84;119;14;158;Property;Property;Property;Property;Property
1713333600;-84;149;183;20;215;Property;Property;Property;Property;Property
1713337200;-76;194;227;238;254;Property;Property;Property;Property;Property
1713340800;-66;213;242;252;259;Property;Property;Property;Property;Property
1713344400;-54;25;285;292;299;Property;Property;Property;Property;Property
1713348000;-43;278;317;32;323;Property;Property;Property;Property;Property
1713351600;-35;255;281;283;281;Property;Property;Property;Property;Property
1713355200;-29;224;242;24;238;Property;Property;Property;Property;Property
1713358800;-23;221;237;235;234;Property;Property;Property;Property;Property
1713362400;-21;233;253;253;251;Property;Property;Property;Property;Property
1713366000;-26;225;25;253;251;Property;Property;Property;Property;Property
1713369600;-35;158;17;17;169;Property;Property;Property;Property;Property
1713373200;-42;142;158;161;161;Property;Property;Property;Property;Property
1713376800;-57;144;17;173;173;Property;Property;Property;Property;Property
1713380400;-7;72;87;91;98;Property;Property;Property;Property;Property
1713384000;-75;76;94;101;108;Property;Property;Property;Property;Property
1713387600;-79;65;86;97;112;Property;Property;Property;Property;Property
1713391200;-82;69;87;98;109;Property;Property;Property;Property;Property
1713394800;-84;59;8;92;103;Property;Property;Property;Property;Property
1713398400;-86;79;108;115;126;Property;Property;Property;Property;Property
1713402000;-9;6;88;97;108;Property;Property;Property;Property;Property
1713405600;-95;46;64;76;85;Property;Property;Property;Property;Property
1713409200;-93;78;106;116;126;Property;Property;Property;Property;Property
1713412800;-99;85;106;111;119;Property;Property;Property;Property;Property
1713416400;-104;4;51;59;67;Property;Property;Property;Property;Property
1713420000;-96;38;46;54;66;Property;Property;Property;Property;Property
1713423600;-89;76;84;84;85;Property;Property;Property;Property;Property
1713427200;-85;105;116;116;116;Property;Property;Property;Property;Property
1713430800;-73;106;116;115;115;Property;Property;Property;Property;Property
1713434400;-67;14;15;147;148;Property;Property;Property;Property;Property
1713438000;-6;173;187;188;187;Property;Property;Property;Property;Property
1713441600;-65;198;223;227;231;Property;Property;Property;Property;Property
1713445200;-64;284;343;354;359;Property;Property;Property;Property;Property
1713448800;-83;224;27;286;302;Property;Property;Property;Property;Property
1713452400;-82;152;183;199;212;Property;Property;Property;Property;Property
1713456000;-73;204;243;248;257;Property;Property;Property;Property;Property
1713459600;-85;135;165;177;194;Property;Property;Property;Property;Property
1713463200;-85;174;218;235;247;Property;Property;Property;Property;Property
1713466800;-95;12;161;173;194;Property;Property;Property;Property;Property
1713470400;-10;112;162;18;198;Property;Property;Property;Property;Property
1713474000;-103;102;138;149;163;Property;Property;Property;Property;Property
1713477600;-105;97;146;158;168;Property;Property;Property;Property;Property
1713481200;-105;9;118;126;132;Property;Property;Property;Property;Property
